skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd203	2	3	3	2		24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	2	StrSkill25	StrSkill23	-min(ln56,95)		2	StrSkill31	StrSkill23	ln78		12	StrSkill20		ln34																	1					19	StrSkill56		dm12																																															0
sd204	3	3	2	3		50	Skillname266	Skillsd266	Skillld266	Skillan266	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpudmana	2*ln12		2	Eskillpowerup2	Eskillpudmana	ln12		2	Eskillpowerup1	Eskillpudlife	ln12																																																														0
sd205	1	4	3	1		10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	5																1					10																														19	StrSkill18		min(60,par3+stat('is468'.accr)/10)		12	StrSkill20		ln12							40	Sksyn	Skillname267	2		63	Skillname258	Colddplev	par8		63	Skillname278	Colddplev	par8		63	Skillname279	Colddplev	par8																	0
sd206	2	4	1	2		30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrSkill85	StrSkill23	dm34																																																																			0
sd207	2	4	2	2		38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
sd208	3	4	1	3		58	Skillname270	Skillsd270	Skillld270	Skillan270	StrSkill3	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	(enma+m2en)+m3en	(exma+m2ex)+m3ex	2		ml559	ml558	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1																												40	Sksyn	Skillname270	2		63	Skillname281	Ltngdplev	par8																											0
sd209	3	4	3	3		48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	16												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillfistsoffire1	StrSkill23	ln12																	19	StrSkill18		par3																																																				0
sd210	1	5	1	1		12	Skillname272	Skillsd272	Skillld272	Skillan272	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname272	2		63	Skillname257	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8																	0
sd211	1	5	2	1		14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3	8	0	3														1					59	StrSkill5		(edns*25)/768	(edxs*25)/768																					3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname273	2		42	Skillname263	Rangplev	0	5	63	Skillname252	Firedplev	par7		63	Skillname263	Firedplev	par8		63	Skillname277	Firedplev	par7												0
sd212	2	5	3	2		34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																3	StrSkill99	StrSkill23	dm56		12	StrSkill48		min(250,edln)		9																				1					16	StrSkill20		par3	par3+par4																																														0
sd213	3	5	1	3		52	Skillname275	Skillsd275	Skillld275	Skillan275	StrSkill3	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				1					2	StrSkill22	StrSkill23	toht		12	Eskillbladesofice3	Eskillpowerup3	edln		19	Eskillbladesofice2	Eskillpowerup2	par1		24	Eskillbladesofice1	Eskillpowerup1	par1																											40	Sksyn	Skillname275	2		63	Skillname281	Colddplev	par8																											0
sd214	3	5	3	3		54	Skillname276	Skillsd276	Skillld276	Skillan276	StrSkill3	15												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12																																																																								0
sd215	1	6	1	1		16	Skillname277	Skillsd277	Skillld277	Skillan277	StrSkill3	5																1					10					37	StrSkill18		skill('sk312'.par3)+skill('sk312'.par4)*(lvl-1)																	3	ESkillShoots	ESkillTimes	par1+skill('sk251'.blvl)/3		38	Corexpdam	StrSkill46	skill('sk312'.par1)	skill('sk312'.par2)											40	Sksyn	Skillname277	2		71	Skillname252	Shotplev3	3		63	Skillname272	Ltngdplev	par8																						0
sd216	1	6	3	1		18	Skillname278	Skillsd278	Skillld278	Skillan278	StrSkill3	5																1					12	StrSkill20		ln12		72	WeapDamsk		1	4	9																																																																						0
sd217	2	6	1	2		28	Skillname279	Skillsd279	Skillld279	Skillan279	StrSkill3																	1					12	StrSkill20		ln12		14																																																																											0
sd218	2	6	2	2		32	Skillname280	Skillsd280	Skillld280	Skillan280	StrSkill3																	1					2	StrSkill54	StrSkill23	(((110*(lvl-1))/(lvl+5))*(par4-par3))/100+par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
sd219	3	6	2	3		56	Skillname281	Skillsd281	Skillld281	Skillan281	StrSkill3	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	ml563	ml568	ml569	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillphoenix3	m3en	m3ex	62	Eskillpowerup2	Eskillphoenix2	m2en	m2ex	38	StrSkill83	StrSkill34	(miss('ml567'.edns)*75)/256	(miss('ml567'.edxs)*75)/256	62	Eskillpowerup1	Eskillphoenix1	m1en	m1ex																					40	Sksyn	Skillname281	2		63	Skillname260	Firedplev	10		63	Skillname260	AFDImm	6		63	Skillname270	Ltngdplev	13		63	Skillname275	Colddplev	10												0
sd220						2	Runeword22	Runeword22	Runeword22	Runeword22	StrSkill3																																																																																																						0
sd221						2	Skillname282	Skillname282	Skillname282	Skillname282	StrSkill3																																																																																																						0
sd222						23	Skillname361	Skillname361	Skillname361	Skillname361	StrSkill3																																																																																																						0
sd223						28	Skillname362	Skillname362	Skillname362	Skillname362																																																																																																							0
sd224						20	Skillname363	Skillname363	Skillname363	Skillname363																																																																																																							0
sd225						18	Skillname364	Skillname364	Skillname364	Skillname364																																																																																																							0
sd226						18	Skillname365	Skillname365	Skillname365	Skillname365																																																																																																							0
sd227						18	Skillname366	Skillname366	Skillname366	Skillname366																																																																																																							0
sd228						18	Skillname367	Skillname367	Skillname367	Skillname367																																																																																																							0
sd229						18	Skillname368	Skillname368	Skillname368	Skillname368																																																																																																							0
sd230						18	Skillname369	Skillname369	Skillname369	Skillname369																																																																																																							0
sd231						18	Skillname370	Skillname370	Skillname370	Skillname370																																																																																																							0
sd232						18	Skillname359	Skillname359	Skillname359	Skillname359																																																																																																							0
sd233						18	Skillname360	Skillname360	Skillname360	Skillname360																																																																																																							0
sd234	3	5	1	3		46	Skillname374	Skillname374	Skillname374	Skillname374	StrSkill3	5													ml158			1					19	StrSkill18		min(60,par3+stat('is462'.accr)/10)		10																																								40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname64	Colddplev	par8																	0
sd235	3	5	1	3		46	Skillname375	Skillname375	Skillname375	Skillname375	StrSkill3	5													ml158			1					19	StrSkill18		min(60,par3+stat('is464'.accr)/10)		10																																								40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname64	Colddplev	par8																	0
sd236	3	5	1	3		46	Skillname376	Skillname376	Skillname376	Skillname376	StrSkill3	5													ml158			1					19	StrSkill18		min(60,par3+stat('is463'.accr)/10)		10																																								40	Sksyn	skillname59	2		63	skillname39	Colddplev	par8		63	skillname45	Colddplev	par8		63	skillname64	Colddplev	par8																	0
sd237						16	Skillname399	Skillname399	Skillname399	Skillname399																																																																																																							0
sd238						16	Skillname400	Skillname400	Skillname400	Skillname400																																																																																																							0
sd239						16	Skillname401	Skillname401	Skillname401	Skillname401																																																																																																							0
sd240						16	Skillname402	Skillname402	Skillname402	Skillname402																																																																																																							0
sd241						27	Skillname403	Skillname403	Skillname403	Skillname403																																																																																																							0
sd242						29	Skillname404	Skillname404	Skillname404	Skillname404																																																																																																							0
sd243						30	Skillname405	Skillname405	Skillname405	Skillname405																																																																																																							0
sd244						21	Skillname406	Skillname406	Skillname406	Skillname406																																																																																																							0
