Name	*comment	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Preserver's		100	1	1	50		42	pal			1	201	pr124	11	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Expert's		100	1	1	50		42	bar			1	201	pr124	12	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Fanatic		100	1	1	50		42	bar			1	201	pr124	13	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sounding		100	1	1	50		42	bar			1	201	pr124	14	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Trainer's		100	1	1	50		42	dru			1	201	pr124	15	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Spiritual		100	1	1	50		42	dru			1	201	pr124	16	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Nature's		100	1	1	50		42	dru			1	201	pr124	17	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Entrapping		100	1	1	50		42	ass			1	201	pr124	18	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Mentalist's		100	1	1	50		42	ass			1	201	pr124	19	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shogukusha's		100	1	1	50		42	ass			1	201	pr124	20	1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shivering		100	1	1	15		11				1	202	pr19		25	25	pr17		2	4	pr18		4	8			scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Boreal		100	1	1	30		22				1	202	pr19		25	25	pr17		5	7	pr18		9	15		lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Hibernal		100	1		45		38				1	202	pr19		25	25	pr17		8	13	pr18		16	25		lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shivering		100	1	1	29		21				1	202	pr19		25	25	pr17		4	5	pr18		6	10			scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Boreal		100	1	1	49		41				1	202	pr19		25	25	pr17		6	10	pr18		11	20		lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Hibernal		100	1		69		61				1	202	pr19		25	25	pr17		11	15	pr18		21	30		lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shivering		100	1	1	42		34				1	202	pr19		25	25	pr17		3	4	pr18		5	8			scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Boreal		100	1	1	66		58				1	202	pr19		25	25	pr17		5	7	pr18		9	14		lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Hibernal		100	1		91		83				1	202	pr19		25	25	pr17		8	10	pr18		15	20		lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Smoldering		100	1	1	15		11				1	203	pr20		2	3	pr21		4	7							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Smoking		100	1	1	28		21				1	203	pr20		4	7	pr21		8	19						lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Flaming		100	1		43		35				1	203	pr20		8	18	pr21		20	36						lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Smoldering		100	1	1	27		20				1	203	pr20		2	3	pr21		4	12							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Smoking		100	1	1	47		39				1	203	pr20		4	9	pr21		13	27						lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Flaming		100	1		67		59				1	203	pr20		10	27	pr21		28	43						lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Smoldering		100	1	1	40		32				1	203	pr20		2	3	pr21		4	10							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Smoking		100	1	1	64		56				1	203	pr20		4	9	pr21		11	19						lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Flaming		100	1		89		81				1	203	pr20		10	19	pr21		20	29						lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Glowing		100	1	1	14		10				1	204	pr22		1	1	pr23		6	17							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Arcing		100	1	1	29		21				1	204	pr22		1	1	pr23		18	44						whit	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shocking		100	1		44		36				1	204	pr22		1	1	pr23		45	79						whit	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Glowing		100	1	1	28		20				1	204	pr22		1	1	pr23		10	26							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Arcing		100	1	1	48		40				1	204	pr22		1	1	pr23		27	58						whit	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shocking		100	1		68		60				1	204	pr22		1	1	pr23		59	90						whit	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Glowing		100	1	1	41		33				1	204	pr22		1	1	pr23		12	24							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Arcing		100	1	1	65		57				1	204	pr22		1	1	pr23		25	43						whit	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Shocking		100	1		90		82				1	204	pr22		1	1	pr23		44	71						whit	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Envenomed		100	1	1	12		9				1	205	pr138	100	39	39											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Toxic		100	1	1	27		20				1	205	pr138	125	103	103										dgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Pestilent		100	1		42		34				1	205	pr138	150	171	171										dgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Envenomed		100	1	1	26		19				1	205	pr138	100	77	77											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Toxic		100	1	1	46		38				1	205	pr138	125	185	185										dgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Pestilent		100	1		66		58				1	205	pr138	150	299	299										dgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Envenomed		100	1	1	39		31				1	205	pr138	100	128	128											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Toxic		100	1	1	63		55				1	205	pr138	125	205	205										dgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Pestilent		100	1		88		80				1	205	pr138	150	299	299										dgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Azure		100	1	1	1		1				2	206	pr35		7	15											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lapis		100	1	1	10		7				2	206	pr35		16	20											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Cobalt		100	1	1	20		15				2	206	pr35		21	25										lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sapphire		100	1		30		22				2	206	pr35		26	30										lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Azure		100	1	1	1		1				2	206	pr35		4	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lapis		100	1	1	16		12				2	206	pr35		8	10											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Cobalt		100	1	1	25		18				2	206	pr35		11	12										lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sapphire		100	1		35		27				2	206	pr35		13	15										lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Azure		100	1	1	1		1				2	206	pr35		3	5											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lapis		100	1	1	14		10				2	206	pr35		6	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Cobalt		100	1	1	27		20				2	206	pr35		8	9										lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sapphire		100	1		40		32				2	207	pr35		10	11										lblu	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Crimson		100	1	1	1		1				2	207	pr31		7	15											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Russet		100	1	1	10		7				2	207	pr31		16	20											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Garnet		100	1	1	20		15				2	207	pr31		21	25										lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ruby		100	1		30		22				2	207	pr31		26	30										lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Crimson		100	1	1	1		1				2	207	pr31		4	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Russet		100	1	1	16		12				2	207	pr31		8	10											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Garnet		100	1	1	25		18				2	207	pr31		11	12										lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ruby		100	1		35		27				2	207	pr31		13	15										lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Crimson		100	1	1	1		1				2	207	pr31		3	5											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Russet		100	1	1	14		10				2	207	pr31		6	7										lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Garnet		100	1		27		20				2	207	pr31		8	9										lred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ruby		100	1	1	40		32				2	207	pr31		10	11											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Tangerine		100	1	1	1		1				2	208	pr33		7	15											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ocher		100	1	1	10		7				2	208	pr33		16	20											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Coral		100	1	1	20		15				2	208	pr33		21	25										lyel	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Amber		100	1		30		22				2	208	pr33		26	30										lyel	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Tangerine		100	1	1	1		1				2	208	pr33		4	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ocher		100	1	1	16		12				2	208	pr33		8	10											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Coral		100	1	1	25		18				2	208	pr33		11	12										lyel	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Amber		100	1		35		27				2	208	pr33		13	15										lyel	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Tangerine		100	1	1	1		1				2	208	pr33		3	5											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ocher		100	1	1	14		10				2	208	pr33		6	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Coral		100	1	1	27		20				2	208	pr33		8	9										lyel	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Amber		100	1		40		32				2	208	pr33		10	11										lyel	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Beryl		100	1	1	1		1				2	209	pr39		7	15											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Viridian		100	1	1	10		7				2	209	pr39		16	20											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jade		100	1	1	20		15				2	209	pr39		21	25										cgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Emerald		100	1		30		22				2	209	pr39		26	30										cgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Beryl		100	1	1	1		1				2	209	pr39		4	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Viridian		100	1	1	16		12				2	209	pr39		8	10											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jade		100	1	1	25		18				2	209	pr39		11	12										cgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Emerald		100	1		35		27				2	209	pr39		13	15										cgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Beryl		100	1	1	1		1				2	209	pr39		3	5											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Viridian		100	1	1	14		10				2	209	pr39		6	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jade		100	1	1	27		20				2	209	pr39		8	9										cgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Emerald		100	1		40		32				2	209	pr39		10	11										cgrn	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snowflake		100	1	1	9		6				2	210	pr19		25	25	pr17		1	1	pr18		2	3			scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snowflake		100	1	1	18		13				2	210	pr19		25	25	pr17		2	3	pr18		3	5			scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snowflake		100	1	1	27		20				2	210	pr19		25	25	pr17		1	2	pr18		2	4			scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ember		100	1	1	5		3				2	211	pr20		1	1	pr21		2	3							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ember		100	1	1	13		9				2	211	pr20		1	1	pr21		2	3							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Ember		100	1	1	21		15				2	211	pr20		1	1	pr21		2	3							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Static		100	1	1	7		5				2	212	pr22		1	1	pr23		4	5							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Static		100	1	1	14		10				2	212	pr22		1	1	pr23		5	9							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Static		100	1	1	23		17				2	212	pr22		1	1	pr23		6	11							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Septic		100	1	1	1		1				2	213	pr138	75	18	18											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Septic		100	1	1	9		6				2	213	pr138	75	35	35											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Septic		100	1	1	18		13				2	213	pr138	75	52	52											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	1		1				4	214	pr0		3	5											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	7		5				4	214	pr0		6	9											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	12		9				4	214	pr0		10	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Burly		100	1	1	17		12				4	214	pr0		13	15											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Burly		100	1	1	22		16				4	214	pr0		16	22											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Burly		100	1	1	27		20				4	214	pr0		23	30											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stalwart		100	1		32		24				4	214	pr0		33	40											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stalwart		100	1		37		29				4	214	pr0		44	50											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stalwart		100	1		42		34				4	214	pr0		60	100											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	1		1				4	214	pr0		2	3											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	14		10				4	214	pr0		4	6											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	20		15				4	214	pr0		8	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Burly		100	1	1	26		19				4	214	pr0		13	18											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Burly		100	1	1	32		24				4	214	pr0		20	30											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stalwart		100	1		38		30				4	214	pr0		30	40											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stalwart		100	1		45		37				4	214	pr0		45	60											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	1		1				4	214	pr0		1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stout		100	1	1	21		15				4	214	pr0		4	8											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Burly		100	1	1	36		28				4	214	pr0		15	20											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Stalwart		100	1		48		40				4	214	pr0		20	30											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100		1	4		3				4	215	pr27		1	2										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100		1	16		12				4	215	pr27		3	3										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sanguinary		100		1	28		21				4	215	pr27		4	4										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sanguinary		100		1	40		32				4	215	pr27		5	6										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bloody		100			52		46				4	215	pr27		7	8										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100		1	11		8				4	215	pr27		1	2										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sanguinary		100		1	33		25				4	215	pr27		3	3										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bloody		100			55		47				4	215	pr27		4	4										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100		1	24		16				4	215	pr27		1	1										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sanguinary		100		1	41		33				4	215	pr27		2	2										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bloody		100			58		50				4	215	pr27		3	3										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100		1	3		2				4	216	pr28		1	2										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100		1	10		7				4	216	pr28		3	4										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100		1	17		12				4	216	pr28		5	6										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100		1	25		18				4	216	pr28		7	8										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100		1	32		24				4	216	pr28		9	10										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serrated		100			39		31				4	216	pr28		11	12										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serrated		100			47		39				4	216	pr28		13	14										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100		1	10		7				4	216	pr28		1	1										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100		1	20		15				4	216	pr28		2	2										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100		1	30		22				4	216	pr28		3	3										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100		1	40		32				4	216	pr28		4	5										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serrated		100			50		42				4	216	pr28		6	7										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100		1	23		17				4	216	pr28		1	1										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100		1	38		30				4	216	pr28		2	2										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serrated		100			53		45				4	216	pr28		3	3										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	1		1				4	217	pr63		12	24											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	7		5				4	217	pr63		25	36											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	21		15				4	217	pr63		37	50											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	1						4	217	pr63		8	16											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	7		5				4	217	pr63		17	25											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	21		15				4	217	pr63		26	32											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	1						4	217	pr63		4	8											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Rugged		100	1	1	21		15				4	217	pr63		9	16											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	1		1				4	218	pr15		6	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	7		5				4	218	pr15		13	27											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	13		9				4	218	pr15		28	42											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Iron		100	1	1	19		14				4	218	pr15		43	57											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Iron		100	1	1	25		18				4	218	pr15		58	72											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Iron		100	1	1	31		23				4	218	pr15		73	87											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Steel		100	1		37		29				4	218	pr15		88	102											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Steel		100	1		43		35				4	218	pr15		103	117											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Steel		100	1		49		41				4	218	pr15		118	132											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	1		1				4	218	pr15		4	8											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	7		5				4	218	pr15		6	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	16		12				4	218	pr15		13	25											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Iron		100	1	1	25		18				4	218	pr15		26	38											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Iron		100	1	1	34		26				4	218	pr15		39	51											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Steel		100	1		43		36				4	218	pr15		52	64											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Steel		100	1		52		44				4	218	pr15		65	77											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	1		1				4	218	pr15		2	4											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bronze		100	1	1	21		15				4	218	pr15		6	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Iron		100	1	1	39		31				4	218	pr15		13	24											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Steel		100	1		57		49				4	218	pr15		25	36											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Fine		100	1	1	15		11				4	218	pr15		10	20	pr28		1	3							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Fine		100	1	1	22		16				4	218	pr15		21	48	pr28		4	6							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sharp		100	1	1	29		21				4	218	pr15		49	76	pr28		7	10							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Fine		100	1	1	19		14				4	218	pr15		10	20	pr28		1	3							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sharp		100	1	1	28		21				4	218	pr15		21	48	pr28		4	6							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Fine		100	1		28		21				4	218	pr15		10	20	pr28		1	3							scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lucky		100	1	1	21						4	219	pr59		1	4											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lucky		100	1		38						4	219	pr59		5	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lucky		100	1		55						4	219	pr59		8	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lucky		100	1	1	34						4	219	pr59		1	1											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lucky		100	1		53						4	219	pr59		2	3											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lucky		100	1		51						4	219	pr59		4	6											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	1		1				4	220	pr11		3	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	7		5				4	220	pr11		8	13											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	13		9				4	220	pr11		14	20											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snake's		100	1	1	19		14				4	220	pr11		21	26											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snake's		100	1	1	25		18				4	220	pr11		27	33											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snake's		100	1	1	31		23				4	220	pr11		34	39											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serpent's		100	1	1	37		29				4	220	pr11		40	46											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serpent's		100	1	1	43		35				4	220	pr11		47	52											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serpent's		100	1	1	49		41				4	220	pr11		53	59											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	1		1				4	220	pr11		2	4											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	9		6				4	220	pr11		5	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	17		12				4	220	pr11		8	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snake's		100	1	1	25		18				4	220	pr11		13	18											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snake's		100	1	1	33		25				4	220	pr11		19	23											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serpent's		100	1	1	41		33				4	220	pr11		24	29											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serpent's		100	1	1	49		41				4	220	pr11		30	34											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	16		12				4	220	pr11		1	2											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Lizard's		100	1	1	16		12				4	220	pr11		3	7											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Snake's		100	1	1	32		24				4	220	pr11		8	12											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serpent's		100	1		48		40				4	220	pr11		13	17											scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100	1	1	15		11				4	221	pr27		1	1										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sanguinary		100	1	1	45		37				4	221	pr27		2	2										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Bloody		100	1		75		67				4	221	pr27		3	3										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100	1	1	30		22				4	221	pr27		1	1										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Sanguinary		100	1		60		52				4	221	pr27		2	2										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Red		100	1	1	90		82				4	221	pr27		1	1										dred	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100	1	1	7		5				4	222	pr28		1	1										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100	1	1	37		29				4	222	pr28		2	2										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Serrated		100	1		67		59				4	222	pr28		3	3										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100	1	1	22		16				4	222	pr28		1	1										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Forked		100	1		52		44				4	222	pr28		2	2										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
Jagged		100	1	1	81		73				4	222	pr28		1	1										blac	scm1	scm2	scm3	scm4	scm5	scm6	scm7								
